Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Rating,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance_km,DeliveryTimeMins,RestaurantID,CustomerID,OrderID,Age,AgeGroup,Gender,IncomeLevel,OrderFrequency,Location,PreferredCuisine,Area,City,RestaurantName,Price,AvgRating,Total ratings,FoodType,Address,Delivery time,ReducedTime,Delivery Band,Reduced DeliveryTime
High,E10C,ALHRES12DEL03,clear sky,Buffet,motorcycle,22,4.5,25.443.994,81.860.187,25.503.994,81.920.187,25.23,44,0,15.29,37.8,408997,2049,E10C,24,18-25,Male,Low,High,Bangalore,Mughlai,Kurla,Mumbai,Talha S Express,250,4.3,20,"North Indian,Biryani,Mughlai,Chinese",Kurla,36,34.02,31-45 mins,34.02
Very High,49AB,MUMRES19DEL03,smoke,Meal,scooter,38,4.8,19.131.141,72.813.074,1.919.114,72.873.074,27.75,57,0,19.33,62.25,408997,8821,49AB,52,46+,Female,Low,Low,Bangalore,Lucknowi,Kurla,Mumbai,Talha S Express,250,4.3,20,"North Indian,Biryani,Mughlai,Chinese",Kurla,36,56.025,31-45 mins,56.025
High,8921,PUNERES19DEL01,clear sky,Meal,electric_scooter,35,4.1,18.563.934,73.915.367,18.633.934,73.985.367,23.43,47,0,15.3,41.7,243625,2050,8921,23,18-25,Male,Low,Low,Bangalore,South Indian,Narayan Peth,Pune,Kfc,400,4.1,100,"American,Fast Food,Snacks",Shop No 1 To 4 Gf Deccan Mall Jm Marg Opposite To Deccan Pmt Bus Stand,49,37.53,45+ mins,37.53
High,4DEB,MYSRES05DEL02,clear sky,Meal,motorcycle,22,4.8,12.323.978,76.627.961,12.453.978,76.757.961,20.4,68,0,25.68,45.45,339726,2052,4DEB,24,18-25,Male,Medium,Low,Bangalore,Chinese,Elgin,Kolkata,Olive-Hotelniharika,200,2.9,80,"Fast Food,Chinese,Indian",Central Kolkata,66,40.905,45+ mins,40.905
High,1046,HYDRES14DEL01,haze,Drinks,scooter,35,4.6,17.426.228,78.407.495,17.466.228,78.447.495,22.92,60,0,12.87,41.6,462218,2061,1046,27,26-35,Female,Medium,Low,Bangalore,South Indian,Chembur,Mumbai,Festa Della Pizza,750,2.9,80,"Italian,Pizzas",Chembur,48,37.44,45+ mins,37.44
Moderate,26C8,CHENRES15DEL02,mist,Snack,motorcycle,20,4.9,13.026.286,80.275.235,13.076.286,80.325.235,28.53,82,0,8.93,32.25,462218,5690,26C8,33,26-35,Female,Low,Low,Bangalore,Tandoor,Chembur,Mumbai,Festa Della Pizza,750,2.9,80,"Italian,Pizzas",Chembur,48,29.025,45+ mins,29.025
High,507E,INDORES20DEL02,haze,Snack,motorcycle,35,4.7,22.732.225,75.874.765,22.812.225,75.954.765,22.18,60,0,17.09,43.2,411757,2420,507E,38,36-45,Female,Medium,High,Bangalore,Punjabi,Annanagar,Chennai,Continent Vegetaria,200,2.9,80,"Snacks,Beverages",Annanagar,84,38.88,45+ mins,38.88
High,B4F0,MYSRES12DEL01,clear sky,Meal,motorcycle,29,4,12.284.747,76.625.861,12.354.747,76.695.861,20.42,68,0,16.95,43,429205,2068,B4F0,47,46+,Male,Medium,Medium,Bangalore,Tandoor,Banjara Hills,Hyderabad,Kaati Zone Rolls And Wraps,200,4.3,50,Fast Food  Beverages,Banjara Hills,66,38.7,45+ mins,38.7
High,A9AD,COIMBRES13DEL01,haze,Buffet,scooter,26,4.8,11.003.669,76.976.494,11.073.669,77.046.494,26.06,73,0,14.32,37.9,456261,2069,A9AD,56,46+,Female,High,High,Bangalore,Gujarati,Lake Market,Kolkata,L'Instant Cafe,650,2.9,80,Indian,Lake Market,71,34.11,45+ mins,34.11
Moderate,5498,COIMBRES010DEL01,mist,Snack,motorcycle,26,4.5,11.003.008,7.697.544,11.043.008,7.701.544,24.84,73,0,7.96,28.5,456261,5028,5498,41,36-45,Female,High,High,Bangalore,Gujarati,Lake Market,Kolkata,L'Instant Cafe,650,2.9,80,Indian,Lake Market,71,25.65,45+ mins,25.65
High,A8EE,VADRES11DEL03,haze,Meal,motorcycle,20,4.8,22.308.096,73.167.753,22.398.096,73.257.753,23.97,64,0,18.17,33.5,462604,2075,A8EE,32,26-35,Female,Medium,High,Bangalore,Punjabi,Royapettah,Chennai,Juice World Fresh N Juicy,170,2.9,80,"Juices,Beverages,American,Chinese,Italian,Snacks,Desserts",Royapettah,47,30.15,45+ mins,30.15
High,32AD,JAPRES010DEL02,clear sky,Meal,scooter,29,4.6,26.921.411,75.793.604,27.001.411,75.873.604,23.72,28,0,15.56,37.75,46909,2076,32AD,18,18-25,Female,Medium,Low,Bangalore,Mughlai,Nungambakkam,Chennai,Hotel Crescent,450,4.3,1000,"Kerala,South Indian,Chinese,North Indian",Valluvar Kottam,49,33.975,45+ mins,33.975
Very Low,D734,KOCRES05DEL01,clear sky,Buffet,scooter,27,5,9.970.717,76.285.447,9.980.717,76.295.447,25.95,80,0,2.88,11.8,164784,9968,D734,48,46+,Female,Low,Medium,Bangalore,South Indian,Chembur,Mumbai,Momo Bao Dimsum By Golden Wok,400,2.9,80,"Chinese,Seafood",Chembur,57,10.62,45+ mins,10.62
High,B2E8,MYSRES03DEL03,clear sky,Drinks,motorcycle,32,4.1,12.299.524,7.664.262,12.359.524,7.670.262,20.51,68,0,14.64,47.75,187384,2084,B2E8,22,18-25,Male,Medium,Medium,Bangalore,Snacks,Shivaji Nagar,Bangalore,Blue Tokai Coffee Roasters,800,4.7,50,"Healthy Food,American,Lebanese,Mediterranean,European,Juices,Middle Eastern",Central Bangalore,38,42.975,31-45 mins,42.975
High,2B1F,BANGRES01DEL01,haze,Snack,scooter,37,4.9,12.933.284,77.615.428,12.973.284,77.655.428,23.18,72,0,9.53,36.8,397744,2085,2B1F,58,46+,Male,Low,Medium,Bangalore,Punjabi,Nsp,Delhi,Modern Caterers,300,4.2,1000,"North Indian,Chinese,Snacks,Beverages,Punjabi",Nsp,46,33.12,45+ mins,33.12
High,AAD2,VADRES11DEL02,haze,Drinks,motorcycle,30,4.6,22.308.096,73.167.753,22.438.096,73.297.753,23.91,64,0,24.3,50.25,334208,2086,AAD2,44,36-45,Male,Medium,Medium,Bangalore,North Indian,Narayanguda,Hyderabad,Chickpet Donne Biryani House,400,3.7,100,Indian,Himayath Nagar,28,45.225,21-30 mins,45.225
High,B0D,SURRES08DEL01,mist,Meal,scooter,24,2.9,21.173.343,72.792.731,21.243.343,72.862.731,24.95,73,0,14.57,41.05,466044,2091,B0D,41,36-45,Male,High,High,Bangalore,South Indian,Kothrud,Pune,Greecania (Greek Food & Desserts),200,2.9,80,"Ice Cream,Snacks,Beverages",Kothrud,56,36.945,45+ mins,36.945
Moderate,D38C,AURGRES18DEL02,mist,Drinks,scooter,24,5,19.888.716,75.321.461,19.938.716,75.371.461,17.72,82,0,11.91,34.25,266184,5091,D38C,43,36-45,Male,High,Low,Bangalore,Mughlai,Bandra Area,Mumbai,Yauatcha,2000,4.5,100,Chinese,Bandra Area,52,30.825,45+ mins,30.825
High,B57F,MYSRES17DEL03,clear sky,Drinks,scooter,27,4.3,12.326.356,76.619.103,12.416.356,76.709.103,20.7,68,0,18.77,43.8,358899,2093,B57F,46,46+,Female,High,Medium,Bangalore,Chinese,Bidhannagar,Kolkata,Kurseong Korner,600,4.1,100,Chinese,Salt Lake,67,39.42,45+ mins,39.42
High,24F0,SURRES010DEL02,clear sky,Meal,motorcycle,34,4.4,2.117.106,72.789.292,2.125.106,72.869.292,24.94,44,0,14.52,35.3,382460,2094,24F0,27,26-35,Female,Low,Medium,Bangalore,Snacks,Himayath Nagar,Hyderabad,Venkateshwara Fast Food,150,3.9,100,"Indian,Chinese,South Indian",Himayath Nagar,27,31.77,21-30 mins,31.77
Moderate,51D7,SURRES11DEL03,mist,Meal,motorcycle,35,4.3,21.157.735,72.768.778,21.217.735,72.828.778,24.94,73,0,11.08,32.4,382460,5980,51D7,18,18-25,Male,High,Low,Bangalore,Chinese,Himayath Nagar,Hyderabad,Venkateshwara Fast Food,150,3.9,100,"Indian,Chinese,South Indian",Himayath Nagar,27,29.16,21-30 mins,29.16
High,985D,PUNERES18DEL03,clear sky,Snack,motorcycle,31,3.4,18.593.481,73.785.901,18.683.481,73.875.901,22.95,48,0,18.69,48.05,146304,2095,985D,43,36-45,Female,Medium,Medium,Bangalore,Snacks,Victoria Layout,Bangalore,Hyderabad Biryaani House,499,4.3,100,Indian,Central Bangalore,35,43.245,31-45 mins,43.245
High,3332,HYDRES02DEL02,haze,Meal,electric_scooter,21,4.7,1.741.233,78.449.654,1.749.233,78.529.654,22.73,60,0,17.95,46,248894,2096,3332,42,36-45,Female,Medium,Medium,Bangalore,Chinese,Taltala,Kolkata,New Arafat Restaurant,200,3.8,100,Indian,Esplanade,50,41.4,45+ mins,41.4
Low,8B98,CHENRES09DEL02,mist,Meal,motorcycle,22,4.6,13.044.694,8.026.147,13.064.694,8.028.147,26.5,87,0,5.02,15.7,248894,3111,8B98,49,46+,Female,Medium,Low,Bangalore,Biryani,Taltala,Kolkata,New Arafat Restaurant,200,3.8,100,Indian,Esplanade,50,14.13,45+ mins,14.13
Low,AE40,INDORES12DEL03,haze,Drinks,electric_scooter,36,4.8,2.274.806,758.934,2.277.806,759.234,22.12,60,0,6.42,28.8,80488,4041,AE40,20,18-25,Female,Medium,Low,Bangalore,North Indian,Kothapet & Dilsukhnagar,Hyderabad,Homely,200,4.1,1000,"Home Food,South Indian,North Indian,Thalis",Kothapet & Dilsukhnagar,39,25.92,31-45 mins,25.92
High,3DFD,JAPRES17DEL01,haze,Snack,motorcycle,21,4.1,26.892.312,75.806.896,26.932.312,75.846.896,23.65,46,0,9.11,37.6,314717,2100,3DFD,39,36-45,Male,Medium,High,Bangalore,Chinese,Taltala,Kolkata,Giani'S,250,2.9,80,"Ice Cream,Desserts,Beverages",Central Kolkata,53,33.84,45+ mins,33.84
Low,F7C,CHENRES09DEL01,mist,Drinks,scooter,26,4.9,13.044.694,8.026.147,13.054.694,8.027.147,28.48,81,0,2.29,23.6,133995,3990,F7C,45,36-45,Male,Medium,Medium,Bangalore,Snacks,Anand Nagar,Pune,Shanti Swayampakghar,250,4.2,50,North Indian,Sinhgad Road,68,21.24,45+ mins,21.24
High,7B7D,RANCHIRES18DEL02,mist,Snack,motorcycle,34,4.2,23.351.489,85.324.253,23.431.489,85.404.253,20.25,83,0,16.14,44.3,204552,2113,7B7D,60,46+,Female,Medium,Low,Bangalore,Chinese,Shanti Nagar,Bangalore,Adithya Tiffin Centre,200,2.9,80,North Indian,Shantinagar,46,39.87,45+ mins,39.87
Very High,7B2D,INDORES06DEL02,clear sky,Drinks,motorcycle,22,5,22.728.163,75.884.212,22.858.163,76.014.212,17.31,53,0,27.88,57.85,204552,7858,7B2D,27,26-35,Male,Medium,Medium,Bangalore,Snacks,Shanti Nagar,Bangalore,Adithya Tiffin Centre,200,2.9,80,North Indian,Shantinagar,46,52.065,45+ mins,52.065
High,AB32,MYSRES09DEL01,clear sky,Snack,motorcycle,37,4.5,12.323.194,76.630.583,12.393.194,76.700.583,20.8,67,0,17.24,35.55,78085,2507,AB32,60,46+,Female,Medium,Medium,Bangalore,Desserts,Santacruz East,Mumbai,Grand,500,4.4,20,"North Indian,Chinese,Mughlai,Tandoor,Seafood",Santacruz East,50,31.995,45+ mins,31.995
High,40C0,HYDRES15DEL03,haze,Buffet,electric_scooter,25,4.8,1.745.971,78.368.855,1.751.971,78.428.855,22.69,60,0,13.79,40.8,6723,2120,40C0,24,18-25,Male,Medium,High,Bangalore,Desserts,Deccan Gymkhana,Pune,Spring Onion,500,4.3,100,"Chinese,Thai,Pan-Asian,Seafood",Bhandarkar Road,39,36.72,31-45 mins,36.72
Moderate,7FA,COIMBRES06DEL03,haze,Drinks,scooter,29,4.9,11.021.278,76.995.017,11.081.278,77.055.017,25.97,73,0,12.91,39.3,435577,6131,7FA,25,18-25,Female,Low,Low,Bangalore,Lucknowi,Paldi & Ambawadi,Ahmedabad,Grill On Fire,149,3.5,20,"Desserts,Fast Food",Paldi & Ambawadi,35,35.37,31-45 mins,35.37
Low,2BFD,PUNERES010DEL02,clear sky,Drinks,motorcycle,30,4.2,18.539.299,73.897.902,18.559.299,73.917.902,19.26,64,0,6.14,25.55,8708,3448,2BFD,18,18-25,Male,Medium,Low,Bangalore,Punjabi,Esplanade,Kolkata,Lazzat,300,4.1,100,Chinese,Pearl Road Lower Range Beck Bagan,50,22.995,45+ mins,22.995
Very Low,3B84,RANCHIRES20DEL01,mist,Buffet,scooter,28,4.5,2.339.925,85.390.464,2.340.925,85.400.464,16.19,94,0,1.79,10.1,23719,9663,3B84,24,18-25,Female,Medium,Medium,Bangalore,Punjabi,Shivajinagar,Pune,Mcdonald'S,400,4.3,1000,"American,Fast Food",Jm Road,34,9.09,31-45 mins,9.09
Very Low,1220,MYSRES01DEL01,broken clouds,Drinks,scooter,37,4.9,12.311.072,76.654.878,12.321.072,76.664.878,18.15,81,0,3.16,20.15,423689,9488,1220,27,26-35,Female,Low,High,Bangalore,Snacks,Asif Nagar,Hyderabad,Falak Restaurant And Banquet Hall,250,2.9,80,"Biryani,Chinese,Mughlai",Asif Nagar,49,18.135,45+ mins,18.135
High,9B57,COIMBRES05DEL02,haze,Snack,scooter,35,4.1,11.022.169,76.999.594,11.102.169,77.079.594,26.08,73,0,15.52,37.15,205183,2134,9B57,39,36-45,Male,High,Low,Bangalore,Desserts,Kurla,Mumbai,"Mumbai	Eats",300,2.9,80,Chinese  Tandoor  Biryani,Kurla,42,33.435,31-45 mins,33.435
High,772B,RANCHIRES06DEL03,mist,Snack,motorcycle,33,3.6,23.357.804,85.325.146,23.447.804,85.415.146,20.16,83,0,19.02,43.15,290843,2140,772B,22,18-25,Female,Medium,High,Bangalore,Chinese,Bhowanipore,Kolkata,Dosa Coffee,350,4.4,100,South Indian,South Kolkata,59,38.835,45+ mins,38.835
High,4A1F,JAPRES08DEL01,haze,Meal,scooter,30,4.8,26.910.262,75.783.013,26.950.262,75.823.013,22.74,46,0,8.95,32.5,434773,2142,4A1F,19,18-25,Female,Low,Low,Bangalore,Gujarati,Swargate,Pune,Vadilal Ice Cream,200,2.9,80,Ice Cream,Swargate,36,29.25,31-45 mins,29.25
Very High,A47C,MUMRES19DEL01,smoke,Buffet,scooter,33,3.8,19.131.141,72.813.074,19.241.141,72.923.074,26.21,44,0,32.73,94.6,434773,8027,A47C,55,46+,Male,High,Low,Bangalore,Desserts,Swargate,Pune,Vadilal Ice Cream,200,2.9,80,Ice Cream,Swargate,36,85.14,31-45 mins,85.14
Moderate,BE6B,JAPRES05DEL03,haze,Buffet,motorcycle,21,4.7,26.905.287,75.794.592,26.965.287,75.854.592,23.51,46,0,11.26,32.95,427506,6581,BE6B,56,46+,Male,High,Medium,Bangalore,Desserts,Perambur,Chennai,Chatar Patar,300,2.9,80,"Fast Food,Street Food",Perambur,71,29.655,45+ mins,29.655
High,57FD,SURRES14DEL01,mist,Drinks,scooter,34,4.9,21.157.729,72.768.726,21.227.729,72.838.726,24.94,73,0,12.5,43.35,376099,2149,57FD,55,46+,Male,Low,Medium,Bangalore,South Indian,Anna Nagar,Chennai,Kerala Kitchen,200,4,100,"South Indian,Chinese",Annanagar,67,39.015,45+ mins,39.015
High,D4B5,LUDHRES06DEL02,clear sky,Drinks,motorcycle,34,3.6,30.895.204,75.822.103,30.975.204,75.902.103,23.65,39,0,22.6,50.2,351123,2154,D4B5,45,36-45,Male,High,Low,Bangalore,Lucknowi,Bandra East,Mumbai,Grameen Kulfi,120,4.4,50,"Ice Cream,Desserts",Hsg Society,38,45.18,31-45 mins,45.18
High,C534,BHPRES05DEL02,clear sky,Buffet,motorcycle,33,4.8,23.214.459,77.434.976,23.294.459,77.514.976,21.85,43,0,17.11,39.7,153244,2155,C534,39,36-45,Male,Low,High,Bangalore,Snacks,Chembur,Mumbai,Famous Paratha Fast Food,300,2.9,80,Indian,Chembur,62,35.73,45+ mins,35.73
High,693,MYSRES20DEL02,clear sky,Buffet,motorcycle,29,4.6,12.337.978,76.616.792,12.467.978,76.746.792,20.21,68,0,24.99,34.65,447743,2157,693,31,26-35,Male,Low,Low,Bangalore,Chinese,Scruz Bandra East,Mumbai,Mehfil,300,2.9,80,Chinese,Scruz Bandra East,48,31.185,45+ mins,31.185
High,78D9,PUNERES19DEL01,clear sky,Snack,scooter,34,4.9,18.563.934,73.915.367,18.633.934,73.985.367,23.43,47,0,15.3,47.6,458465,2160,78D9,21,18-25,Male,Medium,Medium,Bangalore,Tandoor,T Nagar,Chennai,Five Star Chicken / Haleem Departmental Stores,200,2.9,80,"American,Snacks",T Nagar,73,42.84,45+ mins,42.84
High,872C,JAPRES05DEL02,haze,Drinks,motorcycle,34,4.5,26.905.287,75.794.592,26.985.287,75.874.592,23.83,46,0,15.3,48.9,97063,2161,872C,34,26-35,Male,Low,Medium,Bangalore,Tandoor,Adajan,Surat,Cake It Out,300,4.5,100,"Desserts,Ice Cream",Nr Mahalaxmi Temple,47,44.01,45+ mins,44.01
Moderate,2AF5,COIMBRES09DEL03,mist,Meal,motorcycle,38,4.8,11.008.638,76.984.311,11.068.638,77.044.311,25.01,73,0,11.5,31.2,97063,4532,2AF5,29,26-35,Female,Low,Medium,Bangalore,Chinese,Adajan,Surat,Cake It Out,300,4.5,100,"Desserts,Ice Cream",Nr Mahalaxmi Temple,47,28.08,45+ mins,28.08
Very High,41EE,JAPRES06DEL02,clear sky,Drinks,electric_scooter,25,4.9,26.911.927,75.797.282,27.041.927,75.927.282,19.71,47,0,29.11,68.25,97063,7755,41EE,30,26-35,Female,Low,Low,Bangalore,Mughlai,Adajan,Surat,Cake It Out,300,4.5,100,"Desserts,Ice Cream",Nr Mahalaxmi Temple,47,61.425,45+ mins,61.425
High,4578,SURRES16DEL01,mist,Buffet,motorcycle,25,4.9,21.160.437,72.774.209,21.230.437,72.844.209,24.94,73,0,14,41,23438,2167,4578,40,36-45,Male,High,High,Bangalore,Chinese,Kalina,Mumbai,Theeram,600,4.3,1000,Kerala,Church Road,38,36.9,31-45 mins,36.9
Moderate,820A,HYDRES010DEL01,broken clouds,Buffet,motorcycle,21,5,17.428.294,78.404.423,17.468.294,78.444.423,21.45,64,0,11.47,30.05,23438,5546,820A,35,26-35,Male,Medium,Medium,Bangalore,Punjabi,Kalina,Mumbai,Theeram,600,4.3,1000,Kerala,Church Road,38,27.045,31-45 mins,27.045
High,33BC,COIMBRES14DEL03,haze,Snack,motorcycle,34,4.1,11.003.681,76.975.525,11.093.681,77.065.525,25.97,73,0,16.82,41.65,132379,2168,33BC,36,36-45,Female,Low,Low,Bangalore,Biryani,Parvati,Pune,Hotel Annapurna Tarangan,150,4.2,100,Maharashtrian,Opp. Bsnl Telephonic Exchange,52,37.485,45+ mins,37.485
High,5869,COIMBRES03DEL02,haze,Snack,motorcycle,37,4.9,11.025.083,77.015.393,11.155.083,77.145.393,26.26,73,0,29.81,47.9,176422,2171,5869,27,26-35,Male,Low,High,Bangalore,Gujarati,Sadashiv Peth,Pune,Jija Pure Veg,150,2.9,80,Indian,Sadashiv Peth,35,43.11,31-45 mins,43.11
High,6069,INDORES08DEL02,clear sky,Meal,scooter,39,5,22.725.748,75.898.497,22.805.747,75.978.497,22.18,44,0,18.15,39.75,15400,2172,6069,40,36-45,Female,High,Low,Bangalore,North Indian,Indiranagar,Bangalore,Paratha Plaza,250,4.4,100,North Indian,2Nd Stage,53,35.775,45+ mins,35.775
Moderate,23ED,INDORES12DEL02,clear sky,Meal,scooter,35,3.5,2.274.806,758.934,2.282.806,759.734,22.23,44,0,16.68,27.9,15400,6361,23ED,29,26-35,Female,High,High,Bangalore,Biryani,Indiranagar,Bangalore,Paratha Plaza,250,4.4,100,North Indian,2Nd Stage,53,25.11,45+ mins,25.11
Very Low,3B4F,MYSRES02DEL01,clear sky,Drinks,electric_scooter,27,4.7,12.304.569,76.643.622,12.314.569,76.653.622,20.38,67,0,2.65,16.05,343071,9668,3B4F,37,36-45,Male,Medium,Low,Bangalore,Punjabi,Anna Nagar,Chennai,6 Flavours,300,3.5,20,"North Indian,Chinese,Tandoor,Grill,Barbecue",Annanagar,73,14.445,45+ mins,14.445
High,BEE3,SURRES06DEL03,clear sky,Buffet,motorcycle,37,4.4,21.185.047,7.280.859,21.275.047,7.289.859,24.91,42,0,20.55,41.4,89571,2177,BEE3,27,26-35,Female,Medium,Low,Bangalore,Snacks,Rohini,Delhi,Ubq By Barbeque Nation,300,3.9,500,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Rohini West Metro Station Complex,38,37.26,31-45 mins,37.26
High,8270,RANCHIRES06DEL02,mist,Meal,motorcycle,20,4.6,23.357.804,85.325.146,23.437.804,85.405.146,20.19,83,0,15.67,36.5,311264,2178,8270,24,18-25,Male,Medium,High,Bangalore,Gujarati,Cit Nagar,Chennai,Topi Vappa Biriyani,300,3.8,20,"Biryani,Indian,Chinese,South Indian",T Nagar,71,32.85,45+ mins,32.85
High,473C,INDORES18DEL01,clear sky,Meal,motorcycle,31,4.6,22.753.839,75.897.429,22.863.838,76.007.429,22.32,43,0,25.66,41.85,352546,2184,473C,34,26-35,Female,Medium,High,Bangalore,South Indian,Nanpura,Surat,Center Point -Gandhi Smruti,200,4.1,1000,"Chinese,Pizzas,Continental,Indian,Street Food,Thalis",Athwa,28,37.665,21-30 mins,37.665
High,C9B6,BHPRES05DEL03,clear sky,Snack,motorcycle,27,4.5,23.214.459,77.434.976,23.304.459,77.524.976,21.93,43,0,19.93,44.1,426763,2185,C9B6,23,18-25,Male,Low,Low,Bangalore,South Indian,Ruby Area,Kolkata,Kimchi,300,4,50,Chinese,Ruby Area,77,39.69,45+ mins,39.69
High,1372,INDORES06DEL02,haze,Buffet,motorcycle,33,5,22.728.163,75.884.212,22.808.163,75.964.212,22.19,60,0,16.78,39.4,392850,2186,1372,26,26-35,Male,Medium,Medium,Bangalore,Mughlai,T Nagar,Chennai,Hotel Harish,300,4,20,"North Indian,Tandoor,Chinese,South Indian",T Nagar,72,35.46,45+ mins,35.46
Very Low,B44B,HYDRES18DEL01,broken clouds,Meal,scooter,22,4.9,17.450.851,78.379.347,17.460.851,78.389.347,21.29,65,0,3.48,11.9,392850,9425,B44B,60,46+,Female,Low,Medium,Bangalore,Lucknowi,T Nagar,Chennai,Hotel Harish,300,4,20,"North Indian,Tandoor,Chinese,South Indian",T Nagar,72,10.71,45+ mins,10.71
High,760B,INDORES08DEL01,haze,Buffet,scooter,24,4.2,22.725.748,75.898.497,22.795.748,75.968.497,22.13,60,0,16.66,37.45,409923,2190,760B,36,36-45,Female,Low,Low,Bangalore,Gujarati,Central Bangalore,Bangalore,Kaati Zone Rolls And Wraps,200,3.9,50,"Fast Food,Beverages",Central Bangalore,40,33.705,31-45 mins,33.705
High,1FB1,MYSRES06DEL02,clear sky,Drinks,motorcycle,29,5,12.323.994,76.626.167,12.453.994,76.756.167,20.23,67,0,25,50.75,210403,2191,1FB1,25,18-25,Female,Low,High,Bangalore,Tandoor,Nampally,Hyderabad,Milan Juice Centre,150,4,1000,"Arabian,Juices",Nampally,30,45.675,21-30 mins,45.675
High,21D7,BANGRES05DEL01,haze,Buffet,motorcycle,36,3.5,12.970.324,77.645.748,13.040.324,77.715.748,22.71,73,0,12.81,39.35,441285,2192,21D7,22,18-25,Female,Low,Low,Bangalore,North Indian,Shivaji Nagar,Pune,Banjos The Food Chain,300,2.9,80,"Fast Food,Chinese,Beverages",Shivaji Nagar,36,35.415,31-45 mins,35.415
Low,7C5A,INDORES12DEL01,haze,Snack,motorcycle,28,4.7,2.274.806,758.934,2.275.806,759.034,22.08,60,0,1.97,16,11208,4141,7C5A,40,36-45,Female,Low,Medium,Bangalore,Chinese,Shivajinagar,Pune,Hotel Shreyas,400,4.4,100,Maharashtrian,Shivaji Nagar,35,14.4,31-45 mins,14.4
Very High,6D39,MUMRES18DEL01,smoke,Buffet,motorcycle,35,4.9,191.093,72.825.451,192.193,72.935.451,27.75,54,0,35.66,80,139790,8489,6D39,44,36-45,Male,Low,Low,Bangalore,Chinese,Gudimalkapur,Hyderabad,Sri Udupi Grand,300,4.2,100,South Indian  Chinese  Indian,Mehdipatnam,50,72,45+ mins,72
High,C28A,LUDHRES01DEL02,clear sky,Drinks,motorcycle,37,4.7,30.873.988,75.842.739,30.953.988,75.922.739,23.72,39,0,16.63,47.75,41104,2197,C28A,25,18-25,Female,High,Low,Bangalore,Desserts,Chickpet,Bangalore,Adiga'S,200,3.9,100,"South Indian,North Indian,Chinese,Thalis,Fast Food,Juices,Desserts",Majestic,39,42.975,31-45 mins,42.975
High,554E,INDORES01DEL03,haze,Buffet,motorcycle,31,4.4,22.695.207,75.866.059,22.755.207,75.926.059,22.05,60,0,11.67,35.25,356334,2199,554E,45,36-45,Male,Medium,Medium,Bangalore,South Indian,Sion,Mumbai,Sip N Dine Bar And Restaurant,700,2.9,80,"Indian,Biryani,Seafood,Chinese,Kebabs",Matunga Wadala,55,31.725,45+ mins,31.725
Low,7E8C,JAPRES14DEL03,haze,Snack,motorcycle,26,4.9,2.688.842,75.800.689,2.691.842,75.830.689,23.56,46,0,6.06,22.85,356334,4322,7E8C,23,18-25,Male,Medium,Medium,Bangalore,Mughlai,Sion,Mumbai,Sip N Dine Bar And Restaurant,700,2.9,80,"Indian,Biryani,Seafood,Chinese,Kebabs",Matunga Wadala,55,20.565,45+ mins,20.565
Moderate,40BF,COIMBRES03DEL01,haze,Buffet,motorcycle,33,4.1,11.025.083,77.015.393,11.095.083,77.085.393,25.99,73,0,13.92,32.25,356334,6587,40BF,34,26-35,Female,Low,Medium,Bangalore,Desserts,Sion,Mumbai,Sip N Dine Bar And Restaurant,700,2.9,80,"Indian,Biryani,Seafood,Chinese,Kebabs",Matunga Wadala,55,29.025,45+ mins,29.025
Low,8D0A,MYSRES11DEL02,clear sky,Buffet,scooter,26,4.7,12.323.225,76.630.028,12.343.225,76.650.028,20.55,67,0,4.96,16.1,361654,3737,8D0A,34,26-35,Male,Medium,Medium,Bangalore,Gujarati,Rohini,Delhi,Shanghai Chillie'S,300,2.9,80,"Chinese,Fast Food,Thai",Rohini,45,14.49,31-45 mins,14.49
Very High,88CD,BANGRES20DEL01,haze,Snack,motorcycle,26,4.9,12.972.161,77.596.014,13.082.161,77.706.014,21.94,74,0,22.47,59.85,361654,8516,88CD,31,26-35,Female,Medium,Low,Bangalore,Lucknowi,Rohini,Delhi,Shanghai Chillie'S,300,2.9,80,"Chinese,Fast Food,Thai",Rohini,45,53.865,31-45 mins,53.865
High,BEB8,SURRES12DEL02,clear sky,Snack,motorcycle,34,4.1,21.183.434,72.814.492,21.313.434,72.944.492,24.91,42,0,30.26,49.95,83447,2205,BEB8,19,18-25,Male,Medium,Low,Bangalore,Tandoor,Ghatkopar East,Mumbai,R Steam Hot,500,4.2,100,Continental,Ghatkopar Vikhroli,51,44.955,45+ mins,44.955
High,A245,MUMRES07DEL03,smoke,Snack,motorcycle,20,4.9,19.091.458,72.827.808,19.151.458,72.887.808,27.49,57,0,16.26,53.2,94363,2206,A245,37,36-45,Male,Medium,Low,Bangalore,Mughlai,Vastrapur,Ahmedabad,Tuli'S Restaurant,200,3.9,100,"Bengali,North Indian,Biryani,Tandoor",Sandesh Press Roadbodakdev,48,47.88,45+ mins,47.88
